product,market_size_2025_billions,projected_2030_billions,cagr_percent,source_notes
Crypto Staking,"245.0","400.0","10.0","$245B total staked value globally (Dec 2025, Everstake). Coinbase holds 5.1% of ETH staking. Ethereum staking alone ~$112B."
Crypto Custody,"3.3","6.0","13.0","$3.28B in 2025, projected $7.74B by 2032 (360iResearch). Institutional custody $3.2B in 2024 growing at 26.7% CAGR."
Crypto Payments/Cards,"1.7","4.8","18.9","Crypto payment gateway market $1.68B in 2025. Crypto credit card market $174B in 2025 (broader definition). Card payment volumes grew from $100M/month to $1.5B/month (2023-2025)."
Crypto Lending,"10.7","21.2","18.7","Platform market $10.68B in 2025. Total outstanding loans hit $73.6B record in Q3 2025 (Galaxy). CeFi + DeFi combined."
Stablecoin Services,"170.0","300.0","12.0","Stablecoins represent 76% of crypto payment volume. USDC market cap ~$35-40B. Coinbase earns revenue from USDC reserves via Circle partnership."
DeFi/Wallet Services,"54.0","100.0","13.0","DeFi TVL ~$54B as of mid-2025. Crypto wallet market projected $187.7B by 2025 (broader definition including all wallet types)."
Blockchain Infrastructure,"31.0","390.0","52.0","Overall blockchain market $31B in 2024 projected to $390B by 2030. Coinbase operates Base L2 blockchain."
Learn-to-Earn/Education,"0.5","2.0","32.0","Small but growing. Coinbase Earn already exists. Broader crypto education market emerging. Estimate based on platform spending."
NFT Marketplace,"1.5","3.0","15.0","NFT market significantly declined from 2022 peak. Monthly volumes ~$500M-1B in 2025. Market recovering slowly."
Advanced Trading/Derivatives,"6.0","15.0","20.0","Crypto derivatives trading volume far exceeds spot. Market for derivative platform services growing. Coinbase launched futures in 2023."
